disease,symptoms
Psoriasis,"Red scaly patches on skin with intense itching"
Psoriasis,"Silvery flakes on scalp and elbows with peeling"
Psoriasis,"Joint pain accompanying widespread skin rashes"
Psoriasis,"Nail pitting with small dents and separation"
Psoriasis,"Skin rash worsening dramatically in dry weather"
Psoriasis,"Sudden skin peeling in patches on arms and legs"
Psoriasis,"Unbearable itching that disrupts sleep patterns"
Psoriasis,"Silver dusting appearance on back and scalp"
Psoriasis,"Painful cracking and fissures on palms and soles"
Psoriasis,"Red inflamed skin around mouth and nasal areas"
Psoriasis,"Thick red patches developing on knees and elbows"
Psoriasis,"Itchy spots triggered by stress or illness"
Psoriasis,"Bleeding skin lesions from accidental scratching"
Psoriasis,"Nail separation from bed with characteristic pitting"
Psoriasis,"Inverse psoriasis affecting armpit and groin folds"
Psoriasis,"Guttate psoriasis appearing as small drop-like lesions"
Psoriasis,"Pustular psoriasis with white blisters containing pus"
Psoriasis,"Erythrodermic psoriasis causing widespread redness"
Psoriasis,"Burning sore sensation in all affected skin areas"
Psoriasis,"Psoriatic arthritis causing swollen painful joints"
Psoriasis,"Scalp psoriasis with severe flaking resembling dandruff"
Psoriasis,"Skin plaques appearing on lower back and buttocks"
Psoriasis,"Skin thickening with significant plaque buildup"
Psoriasis,"Nighttime itching that interrupts sleep cycles"
Psoriasis,"Extremely dry flaky skin requiring constant moisturizing"
Psoriasis,"Skin lesions that appear at sites of previous injuries"
Psoriasis,"Circular patches with clear centers on torso"
Psoriasis,"Thickened skin on palms making movement difficult"
Psoriasis,"Scaly patches behind ears and along hairline"
Psoriasis,"Skin feels tight and painful after bathing"
Psoriasis,"Red patches that spread when scratched repeatedly"
Psoriasis,"Nail separation causing significant pain and discomfort"
Psoriasis,"Skin plaques that itch more during stressful periods"
Psoriasis,"Dry flaky skin that sheds white particles constantly"
Psoriasis,"Inflammation in skin folds causing constant discomfort"
Psoriasis,"Patches that appear symmetrical on both body sides"
Psoriasis,"Skin feels uncomfortable when wearing tight clothing"
Psoriasis,"Flaking that leaves skin red tender and sensitive"
Psoriasis,"Joint swelling that correlates with skin symptoms"
Psoriasis,"Skin lesions resistant to over-the-counter creams"
Psoriasis,"Itching severe enough to cause sleep deprivation"
Psoriasis,"Patches that become infected from excessive scratching"
Psoriasis,"Nail pain when pressure is applied during activities"
